,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730
0,0.018522,0.018508,0.018493,0.018475,0.018461,0.023174,0.023723,0.023371,0.022806,0.021869,0.021023,0.020105,0.019385,0.018963,0.018043,0.017138,0.017296,0.019187,0.021998,0.026262,0.032984,0.040198,0.044241,0.045335,0.045098,0.04436,0.043319,0.042518,0.041577,0.040674,0.039535,0.039081,0.038567,0.037667,0.036855,0.036245
1,0.049656,0.049644,0.04963,0.049615,0.049601,0.053323,0.053527,0.053364,0.052893,0.052037,0.050852,0.049708,0.048615,0.047771,0.046731,0.046217,0.046579,0.047702,0.050599,0.058659,0.074653,0.090366,0.096766,0.096838,0.094803,0.09275,0.090998,0.089017,0.087837,0.086824,0.086769,0.086845,0.088043,0.087626,0.086484,0.085424
2,0.110062,0.11006,0.110057,0.110055,0.110054,0.113729,0.114203,0.11439,0.113789,0.11221,0.110072,0.108169,0.106348,0.104126,0.102387,0.101995,0.103321,0.10684,0.113008,0.123926,0.142403,0.158303,0.163587,0.16392,0.162984,0.161566,0.160451,0.159231,0.158176,0.156612,0.1553,0.154179,0.153313,0.152765,0.151027,0.150543
3,0.184522,0.184532,0.184543,0.184555,0.184568,0.187226,0.188064,0.18838,0.187442,0.184431,0.181112,0.178104,0.176467,0.177156,0.177893,0.177689,0.178497,0.180974,0.185853,0.197873,0.222939,0.244704,0.25146,0.251298,0.249107,0.24631,0.24388,0.241084,0.238536,0.235657,0.232905,0.229883,0.227648,0.225514,0.22315,0.22068
4,0.284365,0.284381,0.284398,0.284417,0.284437,0.28821,0.290121,0.290947,0.290556,0.28788,0.284667,0.281889,0.278715,0.275718,0.273458,0.272811,0.275382,0.281733,0.292659,0.311857,0.34001,0.36201,0.369344,0.37025,0.369244,0.367741,0.366363,0.364475,0.362858,0.36058,0.357913,0.356383,0.355256,0.354142,0.352157,0.34996
5,0.419613,0.419638,0.419667,0.419699,0.419734,0.425641,0.428386,0.429786,0.430318,0.428217,0.425064,0.421924,0.417463,0.412868,0.408773,0.407084,0.409734,0.417927,0.433273,0.458746,0.491345,0.515934,0.524016,0.52472,0.522751,0.52032,0.518639,0.515907,0.513762,0.510251,0.50672,0.503083,0.502177,0.501167,0.498284,0.495728
6,0.585079,0.585109,0.585141,0.585178,0.585216,0.592529,0.597567,0.601967,0.604261,0.600938,0.595169,0.588773,0.587902,0.598516,0.608012,0.609334,0.606317,0.595539,0.578968,0.581386,0.631009,0.689417,0.713795,0.719505,0.719546,0.718383,0.718315,0.716948,0.715492,0.712661,0.70944,0.706889,0.706846,0.706733,0.70513,0.70311
7,0.764619,0.764677,0.764743,0.764816,0.764899,0.778417,0.783174,0.785516,0.785927,0.781709,0.777869,0.774596,0.769519,0.765276,0.762362,0.760593,0.763134,0.771161,0.785691,0.814508,0.851281,0.880819,0.891585,0.894722,0.896837,0.898651,0.902188,0.903875,0.905072,0.903116,0.901216,0.90092,0.903488,0.904492,0.90433,0.904419
8,0.024373,0.024367,0.024359,0.024351,0.024345,0.027339,0.027524,0.027569,0.026826,0.025074,0.023009,0.021033,0.019396,0.01786,0.016529,0.015965,0.015916,0.016079,0.016718,0.020436,0.03352,0.054567,0.068802,0.072695,0.071907,0.069935,0.067999,0.066156,0.064226,0.062348,0.06102,0.059433,0.058607,0.057068,0.055422,0.054319
9,0.050269,0.050252,0.050233,0.050212,0.050192,0.053829,0.054477,0.054487,0.053624,0.051625,0.048984,0.046326,0.044443,0.043606,0.042455,0.041512,0.041299,0.04096,0.041049,0.046741,0.0714,0.107182,0.128653,0.135274,0.136164,0.13533,0.134726,0.133764,0.132652,0.131589,0.130703,0.129762,0.1298,0.129583,0.128781,0.127265
10,0.098525,0.098506,0.098484,0.098459,0.098435,0.102228,0.103249,0.103315,0.102473,0.100347,0.09741,0.094499,0.091535,0.088031,0.084879,0.083999,0.085251,0.087781,0.092218,0.105188,0.142397,0.185332,0.206202,0.212147,0.212889,0.212145,0.211249,0.209967,0.209159,0.207641,0.206129,0.204857,0.204647,0.20388,0.201491,0.19984
11,0.178149,0.178146,0.178143,0.178139,0.178136,0.181187,0.181248,0.180528,0.178622,0.174759,0.170482,0.166458,0.162023,0.157344,0.153725,0.152671,0.155025,0.161529,0.173963,0.197396,0.242884,0.287781,0.307399,0.312352,0.312229,0.310377,0.308839,0.306652,0.304621,0.30161,0.299381,0.297616,0.296367,0.293857,0.291625,0.288933
12,0.262255,0.262227,0.262196,0.262162,0.262126,0.26863,0.271846,0.273032,0.272217,0.268908,0.264599,0.260171,0.256303,0.252098,0.246783,0.242433,0.244343,0.254169,0.269393,0.297969,0.351579,0.405552,0.433106,0.443427,0.446815,0.447913,0.44927,0.449153,0.449173,0.447907,0.446496,0.446126,0.44767,0.448446,0.447115,0.446251
13,0.39082,0.390806,0.39079,0.390772,0.390752,0.39707,0.400345,0.401561,0.40108,0.39713,0.392071,0.387065,0.381416,0.37548,0.370183,0.368809,0.372577,0.380989,0.3955,0.428436,0.497893,0.567081,0.598753,0.608271,0.610255,0.609813,0.609735,0.608516,0.60742,0.604717,0.602345,0.599952,0.599408,0.598869,0.596775,0.593315
14,0.528273,0.528248,0.528219,0.528187,0.52815,0.536583,0.541272,0.543315,0.543326,0.539287,0.533962,0.528536,0.52244,0.515439,0.50944,0.507952,0.512394,0.521915,0.538178,0.576577,0.660584,0.752527,0.80106,0.818671,0.824254,0.826009,0.828617,0.829587,0.830411,0.827979,0.825846,0.825277,0.827142,0.828333,0.826557,0.825006
15,0.020778,0.020753,0.020725,0.020693,0.020659,0.022996,0.02517,0.026845,0.027629,0.026935,0.024666,0.021602,0.018413,0.015896,0.014016,0.012893,0.01225,0.011796,0.011993,0.014835,0.024463,0.042362,0.062198,0.070853,0.065244,0.063949,0.081537,0.12733,0.208428,0.313892,0.423273,0.522213,0.60585,0.671605,0.719124,0.75369
16,0.03815,0.038114,0.038074,0.038029,0.037986,0.044136,0.045243,0.04556,0.044759,0.042547,0.039624,0.036852,0.034027,0.031331,0.028925,0.028032,0.028126,0.028258,0.028633,0.033798,0.058771,0.106639,0.147829,0.166342,0.170951,0.170603,0.169217,0.167216,0.165536,0.163297,0.161487,0.160211,0.1587,0.15677,0.154898,0.153282
17,0.081358,0.081336,0.081311,0.081283,0.081253,0.084073,0.083262,0.081743,0.079646,0.076337,0.072442,0.068973,0.0656,0.062102,0.05917,0.057849,0.058667,0.061913,0.068045,0.081726,0.124469,0.188576,0.230784,0.245691,0.247766,0.245308,0.241847,0.237339,0.232913,0.229265,0.225038,0.221035,0.217929,0.214385,0.209579,0.203989
18,0.153357,0.153317,0.153272,0.153221,0.153165,0.156708,0.158074,0.158726,0.157623,0.154148,0.15004,0.145539,0.140901,0.135305,0.130309,0.128771,0.130354,0.133558,0.13933,0.158904,0.223169,0.308888,0.359767,0.37809,0.382791,0.383122,0.382653,0.381012,0.379474,0.376997,0.374578,0.372785,0.372663,0.371707,0.369506,0.365183
