index,name,hue,value,chroma,R,G,B
989,7.5B5/10,7.5B,5.0,10,-200,135,183
990,7.5B6/10,7.5B,6.0,10,-159,162,209
991,10B2/2,10B,2.0,2,37,51,60
992,10B3/2,10B,3.0,2,54,73,84
993,10B4/2,10B,4.0,2,82,99,108
994,10B5/2,10B,5.0,2,114,128,136
995,10B6/2,10B,6.0,2,138,153,160
996,10B7/2,10B,7.0,2,166,183,192
997,10B8/2,10B,8.0,2,195,211,220
998,10B9/2,10B,9.0,2,218,233,240
999,10B2/4,10B,2.0,4,10,51,70
1000,10B3/4,10B,3.0,4,35,75,98
1001,10B4/4,10B,4.0,4,62,102,122
1002,10B5/4,10B,5.0,4,91,127,147
1003,10B6/4,10B,6.0,4,120,158,177
1004,10B7/4,10B,7.0,4,146,184,202
1005,10B8/4,10B,8.0,4,174,211,230
1006,10B2/6,10B,2.0,6,-35,52,84
1007,10B3/6,10B,3.0,6,-17,80,113
1008,10B4/6,10B,4.0,6,41,104,135
1009,10B5/6,10B,5.0,6,68,133,165
1010,10B6/6,10B,6.0,6,98,161,191
1011,10B7/6,10B,7.0,6,122,187,218
1012,10B8/6,10B,8.0,6,148,212,242
1013,10B3/8,10B,3.0,8,-109,80,126
1014,10B4/8,10B,4.0,8,-58,105,149
1015,10B5/8,10B,5.0,8,22,133,175
1016,10B6/8,10B,6.0,8,69,160,201
1017,10B7/8,10B,7.0,8,104,187,224
1018,10B3/10,10B,3.0,10,-184,86,142
1019,10B4/10,10B,4.0,10,-149,105,159
1020,10B5/10,10B,5.0,10,-124,135,189
1021,10B6/10,10B,6.0,10,-22,163,218
1022,10B5/12,10B,5.0,12,-290,135,200
1023,10B2/1,10B,2.0,1,43,49,53
1024,10B3/1,10B,3.0,1,66,73,78
1025,10B4/1,10B,4.0,1,88,96,101
1026,10B5/1,10B,5.0,1,115,123,127
1027,10B6/1,10B,6.0,1,145,152,156
1028,10B7/1,10B,7.0,1,171,178,182
1029,10B8/1,10B,8.0,1,196,206,211
1030,10B9/1,10B,9.0,1,226,232,237
1031,2.5PB2/2,2.5PB,2.0,2,37,48,58
1032,2.5PB3/2,2.5PB,3.0,2,59,73,86
1033,2.5PB4/2,2.5PB,4.0,2,87,99,110
1034,2.5PB5/2,2.5PB,5.0,2,115,127,138
1035,2.5PB6/2,2.5PB,6.0,2,140,152,163
1036,2.5PB7/2,2.5PB,7.0,2,168,181,191
1037,2.5PB8/2,2.5PB,8.0,2,199,210,220
1038,2.5PB9/2,2.5PB,9.0,2,225,236,246
1039,2.5PB2/4,2.5PB,2.0,4,18,49,71
1040,2.5PB3/4,2.5PB,3.0,4,46,76,101
1041,2.5PB4/4,2.5PB,4.0,4,73,101,126
1042,2.5PB5/4,2.5PB,5.0,4,99,126,149
1043,2.5PB6/4,2.5PB,6.0,4,127,155,178
1044,2.5PB7/4,2.5PB,7.0,4,156,183,205
1045,2.5PB8/4,2.5PB,8.0,4,179,208,231
1046,2.5PB2/6,2.5PB,2.0,6,-18,49,85
1047,2.5PB3/6,2.5PB,3.0,6,16,78,115
1048,2.5PB4/6,2.5PB,4.0,6,56,102,136
1049,2.5PB5/6,2.5PB,5.0,6,82,127,162
1050,2.5PB6/6,2.5PB,6.0,6,112,157,189
1051,2.5PB7/6,2.5PB,7.0,6,140,186,224
1052,2.5PB8/6,2.5PB,8.0,6,167,209,241
1053,2.5PB3/8,2.5PB,3.0,8,-42,78,126
1054,2.5PB4/8,2.5PB,4.0,8,24,103,151
1055,2.5PB5/8,2.5PB,5.0,8,63,132,181
1056,2.5PB6/8,2.5PB,6.0,8,95,157,206
1057,2.5PB7/8,2.5PB,7.0,8,123,188,237
1058,2.5PB3/10,2.5PB,3.0,10,-108,75,137
1059,2.5PB4/10,2.5PB,4.0,10,-68,103,164
1060,2.5PB5/10,2.5PB,5.0,10,20,131,193
1061,2.5PB6/10,2.5PB,6.0,10,63,159,221
1062,2.5PB5/12,2.5PB,5.0,12,-151,134,208
1063,5PB2/2,5PB,2.0,2,41,48,61
1064,5PB3/2,5PB,3.0,2,62,71,86
1065,5PB4/2,5PB,4.0,2,89,96,109
1066,5PB5/2,5PB,5.0,2,118,126,139
1067,5PB6/2,5PB,6.0,2,145,152,163
1068,5PB7/2,5PB,7.0,2,171,179,189
1069,5PB8/2,5PB,8.0,2,204,212,222
1070,5PB9/2,5PB,9.0,2,229,236,247
1071,5PB2/4,5PB,2.0,4,30,50,75
1072,5PB3/4,5PB,3.0,4,49,70,98
1073,5PB4/4,5PB,4.0,4,78,97,124
1074,5PB5/4,5PB,5.0,4,107,123,147
1075,5PB6/4,5PB,6.0,4,137,154,178
1076,5PB7/4,5PB,7.0,4,162,181,203
1077,5PB8/4,5PB,8.0,4,189,208,236
1078,5PB2/6,5PB,2.0,6,11,49,88
1079,5PB3/6,5PB,3.0,6,36,73,115
1080,5PB4/6,5PB,4.0,6,68,100,139
1081,5PB5/6,5PB,5.0,6,98,129,167
1082,5PB6/6,5PB,6.0,6,124,154,193
1083,5PB7/6,5PB,7.0,6,154,183,223
1084,5PB8/6,5PB,8.0,6,171,202,241
1085,5PB2/8,5PB,2.0,8,-22,49,99
1086,5PB3/8,5PB,3.0,8,2,72,126
1087,5PB4/8,5PB,4.0,8,54,100,151
1088,5PB5/8,5PB,5.0,8,83,128,181
1089,5PB6/8,5PB,6.0,8,109,154,208
1090,5PB7/8,5PB,7.0,8,130,180,232
1091,5PB3/10,5PB,3.0,10,-40,72,140
1092,5PB4/10,5PB,4.0,10,25,101,166
1093,5PB5/10,5PB,5.0,10,66,129,195
1094,5PB6/10,5PB,6.0,10,97,156,222
1095,5PB4/12,5PB,4.0,12,-48,100,180
1096,5PB5/12,5PB,5.0,12,32,128,209
1097,5PB2/1,5PB,2.0,1,44,48,55
1098,5PB3/1,5PB,3.0,1,68,71,78
1099,5PB4/1,5PB,4.0,1,95,98,104
1100,5PB5/1,5PB,5.0,1,121,123,128
1101,5PB6/1,5PB,6.0,1,148,151,156
1102,5PB7/1,5PB,7.0,1,176,180,186
1103,5PB8/1,5PB,8.0,1,203,207,212
1104,5PB9/1,5PB,9.0,1,229,231,237
1105,7.5PB2/2,7.5PB,2.0,2,48,49,64
1106,7.5PB3/2,7.5PB,3.0,2,68,69,85
1107,7.5PB4/2,7.5PB,4.0,2,92,95,110
1108,7.5PB5/2,7.5PB,5.0,2,121,124,138
1109,7.5PB6/2,7.5PB,6.0,2,148,151,162
1110,7.5PB7/2,7.5PB,7.0,2,177,179,189
1111,7.5PB8/2,7.5PB,8.0,2,205,206,217
1112,7.5PB9/2,7.5PB,9.0,2,228,231,241
1113,7.5PB2/4,7.5PB,2.0,4,42,47,75
1114,7.5PB3/4,7.5PB,3.0,4,66,72,102
1115,7.5PB4/4,7.5PB,4.0,4,92,97,125
1116,7.5PB5/4,7.5PB,5.0,4,116,123,148
1117,7.5PB6/4,7.5PB,6.0,4,143,150,176
1118,7.5PB7/4,7.5PB,7.0,4,168,176,201
1119,7.5PB8/4,7.5PB,8.0,4,193,202,230
1120,7.5PB2/6,7.5PB,2.0,6,41,47,88
1121,7.5PB3/6,7.5PB,3.0,6,60,71,115
1122,7.5PB4/6,7.5PB,4.0,6,88,98,141
1123,7.5PB5/6,7.5PB,5.0,6,112,123,165
1124,7.5PB6/6,7.5PB,6.0,6,137,150,192
1125,7.5PB7/6,7.5PB,7.0,6,164,177,219
1126,7.5PB2/8,7.5PB,2.0,8,34,45,97
1127,7.5PB3/8,7.5PB,3.0,8,53,69,126
1128,7.5PB4/8,7.5PB,4.0,8,81,94,151
1129,7.5PB5/8,7.5PB,5.0,8,109,124,182
1130,7.5PB6/8,7.5PB,6.0,8,137,151,210
1131,7.5PB7/8,7.5PB,7.0,8,153,169,224
1132,7.5PB2/10,7.5PB,2.0,10,31,42,111
1133,7.5PB3/10,7.5PB,3.0,10,51,66,139
1134,7.5PB4/10,7.5PB,4.0,10,74,93,166
1135,7.5PB5/10,7.5PB,5.0,10,99,121,191
1136,7.5PB6/10,7.5PB,6.0,10,128,148,216
1137,7.5PB3/12,7.5PB,3.0,12,44,64,148
1138,7.5PB4/12,7.5PB,4.0,12,69,94,179
1139,10PB2/2,10PB,2.0,2,51,47,61
1140,10PB3/2,10PB,3.0,2,70,67,83
1141,10PB4/2,10PB,4.0,2,99,97,111
1142,10PB5/2,10PB,5.0,2,125,123,137
1143,10PB6/2,10PB,6.0,2,149,148,162
1144,10PB7/2,10PB,7.0,2,177,175,186
1145,10PB8/2,10PB,8.0,2,204,203,213
1146,10PB9/2,10PB,9.0,2,236,234,243
1147,10PB2/4,10PB,2.0,4,52,46,73
1148,10PB3/4,10PB,3.0,4,73,68,100
1149,10PB4/4,10PB,4.0,4,99,93,124
1150,10PB5/4,10PB,5.0,4,124,123,151
1151,10PB6/4,10PB,6.0,4,152,150,178
1152,10PB7/4,10PB,7.0,4,176,176,203
1153,10PB8/4,10PB,8.0,4,203,202,229
1154,10PB2/6,10PB,2.0,6,49,36,79
1155,10PB3/6,10PB,3.0,6,72,64,112
1156,10PB4/6,10PB,4.0,6,97,91,136
1157,10PB5/6,10PB,5.0,6,124,119,164
1158,10PB6/6,10PB,6.0,6,150,146,190
1159,10PB7/6,10PB,7.0,6,177,174,217
1160,10PB2/8,10PB,2.0,8,49,35,91
1161,10PB3/8,10PB,3.0,8,74,62,124
1162,10PB4/8,10PB,4.0,8,98,88,146
1163,10PB5/8,10PB,5.0,8,123,115,176
1164,10PB6/8,10PB,6.0,8,151,146,204
1165,10PB7/8,10PB,7.0,8,164,161,218
1166,10PB2/10,10PB,2.0,10,52,30,98
1167,10PB3/10,10PB,3.0,10,75,60,134
1168,10PB4/10,10PB,4.0,10,101,89,164
1169,10PB5/10,10PB,5.0,10,125,116,189
1170,10PB6/10,10PB,6.0,10,150,143,215
1171,10PB4/12,10PB,4.0,12,99,83,171
1172,10PB2/1,10PB,2.0,1,45,41,48
1173,10PB3/1,10PB,3.0,1,70,68,76
1174,10PB4/1,10PB,4.0,1,97,95,102
1175,10PB5/1,10PB,5.0,1,123,122,128
1176,10PB6/1,10PB,6.0,1,152,151,156
1177,10PB7/1,10PB,7.0,1,176,175,183
1178,10PB8/1,10PB,8.0,1,206,205,211
1179,10PB9/1,10PB,9.0,1,234,234,240
1180,2.5P2/2,2.5P,2.0,2,51,45,58
1181,2.5P3/2,2.5P,3.0,2,77,69,87
1182,2.5P4/2,2.5P,4.0,2,101,94,110
1183,2.5P5/2,2.5P,5.0,2,124,118,132
1184,2.5P6/2,2.5P,6.0,2,154,149,163
1185,2.5P7/2,2.5P,7.0,2,182,178,191
1186,2.5P8/2,2.5P,8.0,2,210,205,217
1187,2.5P9/2,2.5P,9.0,2,237,234,245
1188,2.5P2/4,2.5P,2.0,4,57,44,71
1189,2.5P3/4,2.5P,3.0,4,81,66,98
1190,2.5P4/4,2.5P,4.0,4,105,93,123
1191,2.5P5/4,2.5P,5.0,4,132,122,150
1192,2.5P6/4,2.5P,6.0,4,156,146,174
1193,2.5P7/4,2.5P,7.0,4,182,173,202
1194,2.5P8/4,2.5P,8.0,4,210,202,231
1195,2.5P2/6,2.5P,2.0,6,58,40,78
1196,2.5P3/6,2.5P,3.0,6,82,61,108
1197,2.5P4/6,2.5P,4.0,6,107,88,132
1198,2.5P5/6,2.5P,5.0,6,133,117,160
1199,2.5P6/6,2.5P,6.0,6,159,144,187
1200,2.5P7/6,2.5P,7.0,6,185,172,212
1201,2.5P2/8,2.5P,2.0,8,65,34,89
1202,2.5P3/8,2.5P,3.0,8,88,58,117
1203,2.5P4/8,2.5P,4.0,8,111,86,145
1204,2.5P5/8,2.5P,5.0,8,138,115,175
1205,2.5P6/8,2.5P,6.0,8,159,138,197
1206,2.5P7/8,2.5P,7.0,8,190,170,221
1207,2.5P2/10,2.5P,2.0,10,67,26,95
1208,2.5P3/10,2.5P,3.0,10,92,53,127
1209,2.5P4/10,2.5P,4.0,10,117,82,154
1210,2.5P5/10,2.5P,5.0,10,139,110,186
1211,2.5P4/12,2.5P,4.0,12,115,76,161
1212,5P2/2,5P,2.0,2,56,44,59
1213,5P3/2,5P,3.0,2,82,69,86
1214,5P4/2,5P,4.0,2,104,94,109
1215,5P5/2,5P,5.0,2,132,123,137
1216,5P6/2,5P,6.0,2,159,151,164
1217,5P7/2,5P,7.0,2,187,180,191
1218,5P8/2,5P,8.0,2,209,203,213
1219,5P9/2,5P,9.0,2,231,225,236
1220,5P2/4,5P,2.0,4,62,42,70
1221,5P3/4,5P,3.0,4,85,64,93
1222,5P4/4,5P,4.0,4,109,89,119
1223,5P5/4,5P,5.0,4,136,119,147
1224,5P6/4,5P,6.0,4,163,146,173
1225,5P7/4,5P,7.0,4,187,173,199
1226,5P8/4,5P,8.0,4,213,199,226
1227,5P2/6,5P,2.0,6,66,37,76
1228,5P3/6,5P,3.0,6,89,59,104
1229,5P4/6,5P,4.0,6,115,87,130
1230,5P5/6,5P,5.0,6,140,114,156
1231,5P6/6,5P,6.0,6,167,142,183
1232,5P7/6,5P,7.0,6,194,170,211
1233,5P2/8,5P,2.0,8,73,35,88
1234,5P3/8,5P,3.0,8,97,54,112
1235,5P4/8,5P,4.0,8,121,84,140
1236,5P5/8,5P,5.0,8,148,112,169
1237,5P6/8,5P,6.0,8,169,136,192
1238,5P7/8,5P,7.0,8,197,165,221
1239,5P3/10,5P,3.0,10,98,46,120
1240,5P4/10,5P,4.0,10,127,80,150
1241,5P5/10,5P,5.0,10,152,106,178
1242,5P4/12,5P,4.0,12,132,73,156
1243,5P2/1,5P,2.0,1,52,45,54
1244,5P3/1,5P,3.0,1,77,70,78
1245,5P4/1,5P,4.0,1,102,96,104
1246,5P5/1,5P,5.0,1,128,123,130
1247,5P6/1,5P,6.0,1,153,148,156
1248,5P7/1,5P,7.0,1,181,177,184
1249,5P8/1,5P,8.0,1,210,207,213
1250,5P9/1,5P,9.0,1,232,229,235
1251,7.5P2/2,7.5P,2.0,2,59,46,58
1252,7.5P3/2,7.5P,3.0,2,85,69,84
1253,7.5P4/2,7.5P,4.0,2,108,92,107
1254,7.5P5/2,7.5P,5.0,2,133,120,132
1255,7.5P6/2,7.5P,6.0,2,158,145,156
1256,7.5P7/2,7.5P,7.0,2,186,175,185
1257,7.5P8/2,7.5P,8.0,2,214,204,213
1258,7.5P9/2,7.5P,9.0,2,238,232,232
1259,7.5P2/4,7.5P,2.0,4,61,36,63
1260,7.5P3/4,7.5P,3.0,4,89,61,89
1261,7.5P4/4,7.5P,4.0,4,114,87,114
1262,7.5P5/4,7.5P,5.0,4,139,116,140
1263,7.5P6/4,7.5P,6.0,4,167,142,166
1264,7.5P7/4,7.5P,7.0,4,193,170,194
1265,7.5P8/4,7.5P,8.0,4,222,198,222
1266,7.5P2/6,7.5P,2.0,6,68,34,71
1267,7.5P3/6,7.5P,3.0,6,97,60,101
1268,7.5P4/6,7.5P,4.0,6,122,84,124
1269,7.5P5/6,7.5P,5.0,6,149,113,151
1270,7.5P6/6,7.5P,6.0,6,180,141,180
1271,7.5P7/6,7.5P,7.0,6,203,167,203
1272,7.5P8/6,7.5P,8.0,6,230,193,229
1273,7.5P3/8,7.5P,3.0,8,102,49,107
1274,7.5P4/8,7.5P,4.0,8,131,81,134
1275,7.5P5/8,7.5P,5.0,8,156,106,159
1276,7.5P6/8,7.5P,6.0,8,183,133,185
1277,7.5P7/8,7.5P,7.0,8,213,162,213
1278,7.5P3/10,7.5P,3.0,10,108,46,113
1279,7.5P4/10,7.5P,4.0,10,134,72,139
1280,7.5P5/10,7.5P,5.0,10,163,100,164
1281,7.5P6/10,7.5P,6.0,10,190,127,192
1282,7.5P4/12,7.5P,4.0,12,142,66,145
1283,10P2/2,10P,2.0,2,61,46,57
1284,10P3/2,10P,3.0,2,84,65,78
1285,10P4/2,10P,4.0,2,110,93,105
1286,10P5/2,10P,5.0,2,135,120,132
1287,10P6/2,10P,6.0,2,160,144,154
1288,10P7/2,10P,7.0,2,189,174,183
1289,10P8/2,10P,8.0,2,218,205,212
1290,10P9/2,10P,9.0,2,244,231,237
1291,10P2/4,10P,2.0,4,65,37,61
1292,10P3/4,10P,3.0,4,91,60,86
1293,10P4/4,10P,4.0,4,121,90,113
1294,10P5/4,10P,5.0,4,143,113,135
1295,10P6/4,10P,6.0,4,172,143,164
1296,10P7/4,10P,7.0,4,198,169,190
1297,10P8/4,10P,8.0,4,225,195,215
1298,10P2/6,10P,2.0,6,72,27,67
1299,10P3/6,10P,3.0,6,102,54,92
1300,10P4/6,10P,4.0,6,129,82,120
1301,10P5/6,10P,5.0,6,155,110,145
1302,10P6/6,10P,6.0,6,182,136,171
1303,10P7/6,10P,7.0,6,209,164,196
1304,10P8/6,10P,8.0,6,237,191,222
1305,10P3/8,10P,3.0,8,109,47,101
1306,10P4/8,10P,4.0,8,134,74,124
1307,10P5/8,10P,5.0,8,165,104,152
1308,10P6/8,10P,6.0,8,191,131,176
1309,10P7/8,10P,7.0,8,218,157,203
1310,10P3/10,10P,3.0,10,116,38,105
1311,10P4/10,10P,4.0,10,143,68,131
1312,10P5/10,10P,5.0,10,175,98,159
1313,10P6/10,10P,6.0,10,202,125,184
1314,10P4/12,10P,4.0,12,150,59,135
1315,10P5/12,10P,5.0,12,180,88,162
1316,10P2/1,10P,2.0,1,55,47,53
1317,10P3/1,10P,3.0,1,77,68,74
1318,10P4/1,10P,4.0,1,103,94,100
1319,10P5/1,10P,5.0,1,129,121,126
1320,10P6/1,10P,6.0,1,154,146,152
1321,10P7/1,10P,7.0,1,182,174,180
1322,10P8/1,10P,8.0,1,210,203,208
1323,10P9/1,10P,9.0,1,237,231,235
1324,2.5RP2/2,2.5RP,2.0,2,60,42,52
1325,2.5RP3/2,2.5RP,3.0,2,86,64,76
1326,2.5RP4/2,2.5RP,4.0,2,112,92,103
1327,2.5RP5/2,2.5RP,5.0,2,136,119,126
1328,2.5RP6/2,2.5RP,6.0,2,171,151,160
1329,2.5RP7/2,2.5RP,7.0,2,190,174,181
1330,2.5RP8/2,2.5RP,8.0,2,220,205,212
1331,2.5RP9/2,2.5RP,9.0,2,243,227,234
1332,2.5RP2/4,2.5RP,2.0,4,66,36,56
1333,2.5RP3/4,2.5RP,3.0,4,97,58,80
1334,2.5RP4/4,2.5RP,4.0,4,124,87,108
1335,2.5RP5/4,2.5RP,5.0,4,152,116,135
1336,2.5RP6/4,2.5RP,6.0,4,176,143,159
1337,2.5RP7/4,2.5RP,7.0,4,203,168,184
1338,2.5RP8/4,2.5RP,8.0,4,230,195,211
1339,2.5RP2/6,2.5RP,2.0,6,75,23,59
1340,2.5RP3/6,2.5RP,3.0,6,106,54,88
1341,2.5RP4/6,2.5RP,4.0,6,136,81,114
1342,2.5RP5/6,2.5RP,5.0,6,162,110,139
1343,2.5RP6/6,2.5RP,6.0,6,188,135,163
1344,2.5RP7/6,2.5RP,7.0,6,216,162,190
1345,2.5RP8/6,2.5RP,8.0,6,242,190,214
1346,2.5RP2/8,2.5RP,2.0,8,81,19,66
1347,2.5RP3/8,2.5RP,3.0,8,115,45,92
1348,2.5RP4/8,2.5RP,4.0,8,146,74,119
1349,2.5RP5/8,2.5RP,5.0,8,173,100,143
1350,2.5RP6/8,2.5RP,6.0,8,201,129,169
1351,2.5RP7/8,2.5RP,7.0,8,232,156,197
1352,2.5RP3/10,2.5RP,3.0,10,124,36,99
1353,2.5RP4/10,2.5RP,4.0,10,148,63,119
1354,2.5RP5/10,2.5RP,5.0,10,183,92,148
1355,2.5RP6/10,2.5RP,6.0,10,210,120,171
1356,2.5RP7/10,2.5RP,7.0,10,244,155,199
1357,2.5RP4/12,2.5RP,4.0,12,158,56,123
1358,2.5RP5/12,2.5RP,5.0,12,193,85,153
1359,2.5RP6/12,2.5RP,6.0,12,218,113,174
1360,5RP2/2,5RP,2.0,2,63,44,51
1361,5RP3/2,5RP,3.0,2,89,65,74
1362,5RP4/2,5RP,4.0,2,115,92,99
1363,5RP5/2,5RP,5.0,2,139,118,123
1364,5RP6/2,5RP,6.0,2,167,147,152
1365,5RP7/2,5RP,7.0,2,195,176,181
1366,5RP8/2,5RP,8.0,2,221,204,208
1367,5RP9/2,5RP,9.0,2,241,227,230
1368,5RP2/4,5RP,2.0,4,74,37,56
1369,5RP3/4,5RP,3.0,4,101,57,75
1370,5RP4/4,5RP,4.0,4,126,85,100
1371,5RP5/4,5RP,5.0,4,154,115,128
1372,5RP6/4,5RP,6.0,4,181,140,153
1373,5RP7/4,5RP,7.0,4,211,171,183
1374,5RP8/4,5RP,8.0,4,234,197,208
1375,5RP2/6,5RP,2.0,6,81,29,59
1376,5RP3/6,5RP,3.0,6,114,54,82
1377,5RP4/6,5RP,4.0,6,141,80,106
1378,5RP5/6,5RP,5.0,6,167,106,129
1379,5RP6/6,5RP,6.0,6,198,136,156
1380,5RP7/6,5RP,7.0,6,225,164,185
1381,5RP8/6,5RP,8.0,6,250,185,204
1382,5RP2/8,5RP,2.0,8,88,14,60
1383,5RP3/8,5RP,3.0,8,123,41,84
1384,5RP4/8,5RP,4.0,8,153,73,108
1385,5RP5/8,5RP,5.0,8,182,98,131
1386,5RP6/8,5RP,6.0,8,207,129,157
1387,5RP7/8,5RP,7.0,8,237,154,182
1388,5RP3/10,5RP,3.0,10,130,24,85
1389,5RP4/10,5RP,4.0,10,160,62,108
1390,5RP5/10,5RP,5.0,10,193,91,133
1391,5RP6/10,5RP,6.0,10,220,122,161
1392,5RP7/10,5RP,7.0,10,254,147,181
1393,5RP4/12,5RP,4.0,12,169,45,108
1394,5RP5/12,5RP,5.0,12,200,79,133
1395,5RP6/12,5RP,6.0,12,231,111,161
1396,5RP2/1,5RP,2.0,1,57,46,50
1397,5RP3/1,5RP,3.0,1,82,69,73
1398,5RP4/1,5RP,4.0,1,106,96,99
1399,5RP5/1,5RP,5.0,1,131,121,124
1400,5RP6/1,5RP,6.0,1,158,147,150
1401,5RP7/1,5RP,7.0,1,185,174,177
1402,5RP8/1,5RP,8.0,1,209,202,204
1403,5RP9/1,5RP,9.0,1,240,230,232
1404,7.5RP2/2,7.5RP,2.0,2,66,45,52
1405,7.5RP3/2,7.5RP,3.0,2,91,66,72
1406,7.5RP4/2,7.5RP,4.0,2,117,92,97
1407,7.5RP5/2,7.5RP,5.0,2,141,118,122
1408,7.5RP6/2,7.5RP,6.0,2,171,150,153
1409,7.5RP7/2,7.5RP,7.0,2,195,175,178
1410,7.5RP8/2,7.5RP,8.0,2,216,199,201
1411,7.5RP9/2,7.5RP,9.0,2,245,228,231
1412,7.5RP2/4,7.5RP,2.0,4,75,38,53
1413,7.5RP3/4,7.5RP,3.0,4,105,59,73
1414,7.5RP4/4,7.5RP,4.0,4,128,84,95
1415,7.5RP5/4,7.5RP,5.0,4,157,113,123
1416,7.5RP6/4,7.5RP,6.0,4,182,142,150
1417,7.5RP7/4,7.5RP,7.0,4,208,167,175
1418,7.5RP8/4,7.5RP,8.0,4,233,193,201
1419,7.5RP2/6,7.5RP,2.0,6,81,27,52
1420,7.5RP3/6,7.5RP,3.0,6,116,53,74
1421,7.5RP4/6,7.5RP,4.0,6,143,80,99
1422,7.5RP5/6,7.5RP,5.0,6,169,104,121
1423,7.5RP6/6,7.5RP,6.0,6,197,133,148
1424,7.5RP7/6,7.5RP,7.0,6,226,162,176
1425,7.5RP8/6,7.5RP,8.0,6,253,184,200
1426,7.5RP2/8,7.5RP,2.0,8,96,12,56
1427,7.5RP3/8,7.5RP,3.0,8,125,45,78
1428,7.5RP4/8,7.5RP,4.0,8,153,68,96
1429,7.5RP5/8,7.5RP,5.0,8,183,99,123
1430,7.5RP6/8,7.5RP,6.0,8,208,125,146
1431,7.5RP7/8,7.5RP,7.0,8,237,151,172
1432,7.5RP3/10,7.5RP,3.0,10,132,16,73
1433,7.5RP4/10,7.5RP,4.0,10,162,59,97
1434,7.5RP5/10,7.5RP,5.0,10,194,87,120
1435,7.5RP6/10,7.5RP,6.0,10,221,117,146
1436,7.5RP4/12,7.5RP,4.0,12,173,40,97
1437,7.5RP5/12,7.5RP,5.0,12,209,79,122
1438,7.5RP6/12,7.5RP,6.0,12,236,109,146
1439,7.5RP5/14,7.5RP,5.0,14,221,70,124
1440,10RP2/2,10RP,2.0,2,64,43,48
1441,10RP3/2,10RP,3.0,2,92,65,68
1442,10RP4/2,10RP,4.0,2,117,91,93
1443,10RP5/2,10RP,5.0,2,138,118,120
1444,10RP6/2,10RP,6.0,2,166,145,147
1445,10RP7/2,10RP,7.0,2,194,175,176
1446,10RP8/2,10RP,8.0,2,219,201,201
1447,10RP9/2,10RP,9.0,2,246,229,229
1448,10RP2/4,10RP,2.0,4,75,36,49
1449,10RP3/4,10RP,3.0,4,105,58,67
1450,10RP4/4,10RP,4.0,4,131,85,91
1451,10RP5/4,10RP,5.0,4,155,112,117
1452,10RP6/4,10RP,6.0,4,185,140,144
1453,10RP7/4,10RP,7.0,4,210,166,171
1454,10RP8/4,10RP,8.0,4,239,194,198
1455,10RP2/6,10RP,2.0,6,84,28,49
1456,10RP3/6,10RP,3.0,6,116,50,66
1457,10RP4/6,10RP,4.0,6,148,78,91
1458,10RP5/6,10RP,5.0,6,173,106,116
1459,10RP6/6,10RP,6.0,6,201,133,142
1460,10RP7/6,10RP,7.0,6,223,159,166
1461,10RP8/6,10RP,8.0,6,260,187,195
1462,10RP2/8,10RP,2.0,8,91,12,49
1463,10RP3/8,10RP,3.0,8,129,38,65
1464,10RP4/8,10RP,4.0,8,158,67,87
1465,10RP5/8,10RP,5.0,8,186,94,112
1466,10RP6/8,10RP,6.0,8,213,127,139
1467,10RP7/8,10RP,7.0,8,245,154,165
1468,10RP3/10,10RP,3.0,10,136,16,62
1469,10RP4/10,10RP,4.0,10,167,58,86
1470,10RP5/10,10RP,5.0,10,198,87,111
1471,10RP6/10,10RP,6.0,10,225,116,136
1472,10RP4/12,10RP,4.0,12,176,37,82
1473,10RP5/12,10RP,5.0,12,213,77,110
1474,10RP6/12,10RP,6.0,12,242,108,132
1475,10RP4/14,10RP,4.0,14,188,22,86
1476,10RP5/14,10RP,5.0,14,222,63,106
1477,10RP2/1,10RP,2.0,1,55,45,46
1478,10RP3/1,10RP,3.0,1,80,68,69
1479,10RP4/1,10RP,4.0,1,105,92,93
1480,10RP5/1,10RP,5.0,1,131,118,119
1481,10RP6/1,10RP,6.0,1,159,146,147
1482,10RP7/1,10RP,7.0,1,186,175,176
1483,10RP8/1,10RP,8.0,1,212,203,204
1484,10RP9/1,10RP,9.0,1,240,229,230
